timestamp,company_name,website,email,subject,status,note
2026-03-09 19:09:12,Keystone Pacific Property Management - Southern California HOA ...,https://www.kppm.com/,,A Smarter Way to Handle HOA Compliance — Built for Teams Like Yours,SKIPPED,No email address found
2026-03-09 19:09:12,HOA Property Management Services | Associa,https://www.associaonline.com/,,A Smarter Way to Handle HOA Compliance — Built for Teams Like Yours,SKIPPED,No email address found
2026-03-09 19:09:12,7 Reasons to Join YourHOABoard| Associa,https://hub.associaonline.com/blog/7-reasons-to-join-your-hoa-board,,A Smarter Way to Handle HOA Compliance — Built for Teams Like Yours,SKIPPED,No email address found
2026-03-31 06:40 PM PT,Annapolis MD,,sam@benchmarkpmgmt.com,Annapolis MD — quick question,False,missing env vars
2026-03-31 06:40 PM PT,Management Trust,,natalie.waldo@managementtrust.com,Management Trust — quick question,False,missing env vars
2026-04-16 09:37 AM,Annapolis MD,,sam@benchmarkpmgmt.com,Annapolis MD — quick question,True,smtp-local
2026-04-16 09:37 AM,Management Trust,,natalie.waldo@managementtrust.com,Management Trust — quick question,True,smtp-local
2026-04-16 09:37 AM,Personalized,,info@ppminternet.com,Personalized — quick question,True,smtp-local
2026-04-16 09:37 AM,San Diego,,abrumbalow@associa.us,San Diego — quick question,True,smtp-local
2026-04-16 09:37 AM,California Association,,info@cacm.org,California Association — quick question,True,smtp-local
2026-04-16 09:37 AM,Progressive Inc.,,info@progressive-am.com,Progressive Inc. — quick question,True,smtp-local
2026-04-16 09:37 AM,Professionals (PMP),,care@pmpmanage.com,Professionals (PMP) — quick question,True,smtp-local
2026-04-16 09:37 AM,Elite Management,,customerservice@elitemanagement.com,Elite Management — quick question,True,smtp-local
2026-04-16 09:37 AM,Management Services,,owner@4rentbend.com,Management Services — quick question,True,smtp-local
2026-04-16 09:37 AM,Community,,customerservice@embmanagement.com,Community — quick question,True,smtp-local
2026-04-16 09:37 AM,Alabama HOA,,bstewart@mckaymanagement.com,Alabama HOA — quick question,True,smtp-local
